,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Bluff,100,NZ,1586901773,94,-46.6,168.33,44.01,4.0
1,Esperance,90,AU,1586901773,93,-33.87,121.9,62.6,6.93
2,Sambava,86,MG,1586901773,84,-14.27,50.17,75.45,7.38
3,La Ronge,20,CA,1586901773,39,55.1,-105.28,30.2,10.29
4,Sumbe,9,AO,1586901773,86,-11.21,13.84,77.56,3.49
5,Yellowknife,90,CA,1586901687,79,62.46,-114.35,30.0,3.36
6,Port Alfred,85,ZA,1586901773,96,-33.59,26.89,62.01,4.0
7,Atuona,35,PF,1586901773,68,-9.8,-139.03,82.35,6.22
8,Avarua,68,CK,1586901727,61,-21.21,-159.78,80.6,6.93
9,San Patricio,5,MX,1586901773,73,19.22,-104.7,77.0,11.41
10,Tuktoyaktuk,90,CA,1586901773,92,69.45,-133.04,24.8,14.99
11,Saskylakh,88,RU,1586901774,90,71.92,114.08,-2.31,15.77
12,Blythe,1,US,1586901769,8,33.61,-114.6,81.0,19.46
13,Saint Anthony,75,US,1586901574,39,45.02,-93.22,30.99,20.8
14,Eirunepé,77,BR,1586901774,67,-6.66,-69.87,86.49,1.61
15,Ribeira Grande,75,PT,1586901774,76,38.52,-28.7,53.6,17.22
16,Envira,27,BR,1586901774,69,-7.3,-70.22,84.69,1.3
17,Tuensang,9,IN,1586901774,43,26.28,94.83,67.89,2.89
18,Batken,100,KG,1586901774,45,39.83,71.0,33.93,2.33
19,Ushuaia,40,AR,1586901774,76,-54.8,-68.3,48.2,5.7
20,Gevgelija,98,MK,1586901774,65,41.14,22.5,60.01,15.01
21,Saint-Philippe,1,RE,1586901774,88,-21.36,55.77,75.2,19.46
22,Carnarvon,35,AU,1586901774,69,-24.87,113.63,73.4,19.46
23,Mareeba,40,AU,1586901774,78,-17.0,145.43,77.0,12.75
24,Cape Town,0,ZA,1586901602,82,-33.93,18.42,62.01,9.17
25,Rikitea,74,PF,1586901775,65,-23.12,-134.97,76.44,6.76
26,Longyearbyen,75,SJ,1586901750,68,78.22,15.64,30.2,24.16
27,Vila Verde,70,PT,1586901775,87,41.65,-8.44,62.01,2.73
28,Bredasdorp,0,ZA,1586901775,93,-34.53,20.04,53.01,3.36
29,Ostrovnoy,89,RU,1586901775,88,68.05,39.51,34.65,14.56
30,Qaanaaq,100,GL,1586901775,94,77.48,-69.36,20.57,6.89
31,Port Elizabeth,18,ZA,1586901775,93,-33.92,25.57,62.6,4.7
32,Lebedyn,100,UA,1586901775,81,50.59,34.48,37.49,13.38
33,Westport,1,US,1586901723,45,41.14,-73.36,57.2,8.05
34,Jamestown,90,US,1586901775,41,42.1,-79.24,41.0,11.41
35,Hobart,75,AU,1586901527,87,-42.88,147.33,59.0,4.7
36,Mar del Plata,20,AR,1586901603,72,-38.0,-57.56,62.01,14.99
37,Bairnsdale,50,AU,1586901775,92,-37.83,147.62,52.0,3.22
38,Yangi Marg`ilon,100,UZ,1586901775,87,40.43,71.72,55.4,2.24
39,Albany,75,US,1586901604,24,42.6,-73.97,52.0,12.75
